epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,168.439,0.46667,0.37169,1.27704,0.94559,0.98214,0.98242,0.97247,0.27949,0.34481,1.06474,0.0011387,0.0011387,0.0011387
89,170.348,0.40755,0.33226,1.2169,0.95124,0.98214,0.98432,0.96629,0.28573,0.37857,1.10307,0.0011288,0.0011288,0.0011288
90,172.407,0.42293,0.34991,1.21956,0.94789,0.98214,0.98501,0.96722,0.27122,0.37302,1.05935,0.0011189,0.0011189,0.0011189
91,174.381,0.41802,0.33186,1.22671,0.9619,0.98214,0.98434,0.97998,0.26085,0.36573,1.05844,0.001109,0.001109,0.001109
92,176.286,0.40505,0.32473,1.1934,0.96485,0.98049,0.98283,0.97402,0.27023,0.36367,1.10636,0.0010991,0.0010991,0.0010991
93,178.151,0.37646,0.31487,1.21451,0.9645,0.98214,0.98269,0.97507,0.26504,0.33624,1.12557,0.0010892,0.0010892,0.0010892
94,180.043,0.4109,0.3331,1.22014,0.94697,0.98214,0.98185,0.96996,0.2766,0.32521,1.0935,0.0010793,0.0010793,0.0010793
95,181.949,0.38948,0.32311,1.23375,0.964,0.98214,0.98299,0.98115,0.24851,0.32327,1.05766,0.0010694,0.0010694,0.0010694
96,183.848,0.38596,0.31748,1.17915,0.96118,0.96429,0.97466,0.9707,0.28005,0.3243,1.0602,0.0010595,0.0010595,0.0010595
97,185.933,0.39471,0.32586,1.18479,0.96171,0.96429,0.97278,0.9707,0.27704,0.32135,1.08557,0.0010496,0.0010496,0.0010496
98,188.167,0.40891,0.31823,1.22887,0.96421,0.98214,0.98584,0.97618,0.26297,0.2935,1.06275,0.0010397,0.0010397,0.0010397
99,190.349,0.40799,0.33502,1.21335,0.96547,0.99854,0.98093,0.9722,0.26439,0.29025,1.06985,0.0010298,0.0010298,0.0010298
100,192.571,0.38061,0.30874,1.17212,0.96548,0.99878,0.98109,0.96987,0.25926,0.28338,1.10018,0.0010199,0.0010199,0.0010199
101,194.76,0.38946,0.32256,1.18567,0.96548,0.99905,0.98109,0.97332,0.25241,0.28652,1.13582,0.00101,0.00101,0.00101
102,196.947,0.4085,0.32713,1.24125,0.96548,0.99903,0.98131,0.9736,0.26698,0.28706,1.13494,0.0010001,0.0010001,0.0010001
103,199.146,0.40931,0.33235,1.25607,0.96547,0.99875,0.98298,0.97489,0.25151,0.28523,1.12745,0.0009902,0.0009902,0.0009902
104,201.266,0.36368,0.326,1.19251,0.96389,0.98214,0.98601,0.98419,0.22982,0.27963,1.09272,0.0009803,0.0009803,0.0009803
105,203.519,0.40734,0.34697,1.25133,0.96403,0.98214,0.98677,0.98283,0.25496,0.28266,1.09522,0.0009704,0.0009704,0.0009704
106,205.831,0.35649,0.30236,1.20547,0.94902,0.99737,0.98718,0.98416,0.24934,0.27773,1.09439,0.0009605,0.0009605,0.0009605
107,208.048,0.408,0.3497,1.24338,0.96548,0.99899,0.98772,0.98273,0.24092,0.26967,1.11102,0.0009506,0.0009506,0.0009506
108,210.138,0.39739,0.32761,1.23221,0.95284,1,0.98874,0.97733,0.26811,0.27592,1.14797,0.0009407,0.0009407,0.0009407
109,212.2,0.40398,0.34641,1.20069,0.96408,1,0.98939,0.98466,0.26411,0.27036,1.21953,0.0009308,0.0009308,0.0009308
110,214.327,0.37956,0.32243,1.19319,0.96552,0.99994,0.98994,0.98313,0.2628,0.26998,1.2132,0.0009209,0.0009209,0.0009209
111,216.593,0.35806,0.29632,1.1582,0.94834,1,0.9892,0.97527,0.26549,0.27603,1.13912,0.000911,0.000911,0.000911
112,218.736,0.3792,0.30405,1.19452,0.94798,1,0.9892,0.97882,0.26651,0.28546,1.13913,0.0009011,0.0009011,0.0009011
113,220.884,0.39274,0.3263,1.19482,0.9648,0.97885,0.98827,0.98157,0.27695,0.29083,1.16355,0.0008912,0.0008912,0.0008912
114,222.946,0.41841,0.34768,1.24912,0.95013,0.98214,0.98883,0.97994,0.25764,0.28415,1.19178,0.0008813,0.0008813,0.0008813
115,224.851,0.43978,0.33801,1.25481,0.95032,0.98214,0.98899,0.98166,0.25128,0.27273,1.20653,0.0008714,0.0008714,0.0008714
116,226.791,0.38482,0.31715,1.22194,0.96222,1,0.98639,0.9808,0.23802,0.25392,1.21056,0.0008615,0.0008615,0.0008615
117,228.719,0.37071,0.31212,1.19919,0.96509,1,0.98246,0.97401,0.24655,0.25685,1.21575,0.0008516,0.0008516,0.0008516
118,230.749,0.39454,0.32125,1.21393,0.96171,0.98214,0.97929,0.97262,0.27359,0.26962,1.2402,0.0008417,0.0008417,0.0008417
119,232.845,0.38352,0.31796,1.17393,0.96307,1,0.98104,0.97694,0.25707,0.27358,1.21458,0.0008318,0.0008318,0.0008318
120,234.851,0.4076,0.32634,1.25244,0.96532,0.99417,0.98224,0.97631,0.24465,0.26992,1.20354,0.0008219,0.0008219,0.0008219
121,236.771,0.37575,0.3282,1.22544,0.96483,0.97987,0.97813,0.97388,0.23658,0.27459,1.10846,0.000812,0.000812,0.000812
122,238.763,0.38854,0.32275,1.21255,0.96457,0.98214,0.9782,0.97621,0.26142,0.32116,1.08124,0.0008021,0.0008021,0.0008021
123,240.886,0.38028,0.32251,1.21288,0.96442,0.98214,0.97865,0.97768,0.25023,0.32005,1.06764,0.0007922,0.0007922,0.0007922
124,242.955,0.37357,0.33244,1.20572,0.96427,0.98214,0.97958,0.97862,0.24417,0.3377,1.05961,0.0007823,0.0007823,0.0007823
125,244.99,0.38217,0.30503,1.20929,0.96344,0.98214,0.98008,0.977,0.25739,0.32623,1.06112,0.0007724,0.0007724,0.0007724
126,247.003,0.41054,0.33987,1.22441,0.96154,0.98214,0.98167,0.9717,0.27342,0.3238,1.06427,0.0007625,0.0007625,0.0007625
127,249.021,0.39835,0.31675,1.23292,0.96481,0.97924,0.98124,0.97432,0.26754,0.32442,1.09423,0.0007526,0.0007526,0.0007526
128,251.018,0.35756,0.3067,1.16874,0.96481,0.97929,0.98124,0.9763,0.25822,0.32406,1.09344,0.0007427,0.0007427,0.0007427
129,253.22,0.36835,0.29957,1.19896,0.94599,0.98214,0.98148,0.97565,0.26006,0.32588,1.10968,0.0007328,0.0007328,0.0007328
130,255.408,0.39099,0.30666,1.17497,0.94556,0.98214,0.98101,0.97611,0.26027,0.32639,1.11134,0.0007229,0.0007229,0.0007229
131,257.52,0.36286,0.29634,1.17401,0.96484,0.97999,0.97884,0.97663,0.24862,0.32333,1.11797,0.000713,0.000713,0.000713
132,259.74,0.39876,0.31701,1.20309,0.96487,0.98086,0.97821,0.9746,0.25229,0.31526,1.0997,0.0007031,0.0007031,0.0007031
133,261.78,0.38436,0.31155,1.20351,0.96481,0.97927,0.97705,0.97144,0.25146,0.31653,1.05484,0.0006932,0.0006932,0.0006932
134,264.152,0.36004,0.29518,1.17038,0.96203,0.98214,0.97581,0.97459,0.23519,0.30721,1.04179,0.0006833,0.0006833,0.0006833
135,266.227,0.37084,0.30368,1.1933,0.96457,0.98214,0.97599,0.97098,0.23287,0.29575,1.05563,0.0006734,0.0006734,0.0006734
136,268.235,0.38114,0.30763,1.18594,0.96486,0.98075,0.97708,0.97108,0.25222,0.29785,1.09271,0.0006635,0.0006635,0.0006635
137,270.398,0.34729,0.28725,1.15954,0.96362,0.98214,0.97755,0.96626,0.25643,0.30174,1.13174,0.0006536,0.0006536,0.0006536
138,272.489,0.34448,0.28926,1.13496,0.9645,0.98214,0.97923,0.97613,0.24784,0.30083,1.23422,0.0006437,0.0006437,0.0006437
139,274.528,0.35621,0.30397,1.15612,0.96273,0.98214,0.9781,0.97593,0.25088,0.30449,1.27022,0.0006338,0.0006338,0.0006338
140,276.546,0.37319,0.30766,1.18192,0.96403,0.98214,0.97939,0.97716,0.24211,0.32082,1.24336,0.0006239,0.0006239,0.0006239
141,278.586,0.35978,0.29655,1.20985,0.96486,0.98056,0.98055,0.97832,0.23769,0.32913,1.20875,0.000614,0.000614,0.000614
142,280.629,0.3577,0.30142,1.22274,0.96425,0.96328,0.98054,0.97641,0.24913,0.33406,1.21646,0.0006041,0.0006041,0.0006041
143,282.652,0.3529,0.29053,1.17393,0.96467,0.97514,0.98016,0.97678,0.22889,0.30471,1.09094,0.0005942,0.0005942,0.0005942
144,284.639,0.33346,0.29133,1.18678,0.96209,0.98214,0.97977,0.97377,0.24762,0.31554,1.09468,0.0005843,0.0005843,0.0005843
145,286.675,0.36109,0.32132,1.19648,0.96408,0.98214,0.9796,0.97423,0.24515,0.33261,1.06126,0.0005744,0.0005744,0.0005744
146,288.932,0.34026,0.29031,1.1617,0.96197,0.98214,0.97945,0.97498,0.2468,0.34224,1.06196,0.0005645,0.0005645,0.0005645
147,291.444,0.36069,0.3008,1.20117,0.96486,0.98078,0.97969,0.97069,0.24381,0.35322,1.06047,0.0005546,0.0005546,0.0005546
148,293.79,0.36039,0.30572,1.20877,0.96457,0.98214,0.9805,0.97092,0.23337,0.35318,1.06855,0.0005447,0.0005447,0.0005447
149,296.163,0.36484,0.30815,1.23426,0.96431,0.98214,0.98013,0.9716,0.22963,0.34793,1.07615,0.0005348,0.0005348,0.0005348
150,298.391,0.3155,0.27416,1.14425,0.96425,0.98214,0.98004,0.97135,0.22804,0.34389,1.07382,0.0005249,0.0005249,0.0005249
151,300.613,0.32711,0.27021,1.15018,0.96102,0.96429,0.97968,0.97446,0.23129,0.32403,1.06318,0.000515,0.000515,0.000515
152,302.811,0.3228,0.27707,1.15775,0.96478,0.97836,0.98058,0.97605,0.22523,0.3104,1.04139,0.0005051,0.0005051,0.0005051
153,305.015,0.34102,0.28617,1.18184,0.96281,0.98214,0.98136,0.97916,0.22588,0.29519,1.02816,0.0004952,0.0004952,0.0004952
154,307.308,0.3322,0.27889,1.18085,0.96249,0.98214,0.97969,0.97749,0.22862,0.29101,1.02625,0.0004853,0.0004853,0.0004853
155,309.608,0.37671,0.30239,1.19843,0.96379,0.98214,0.97895,0.97674,0.22362,0.2734,1.02536,0.0004754,0.0004754,0.0004754
156,311.849,0.34715,0.29561,1.17921,0.96385,0.98214,0.97637,0.97317,0.2203,0.26758,1.03734,0.0004655,0.0004655,0.0004655
157,314.207,0.33009,0.27928,1.12712,0.96369,0.98214,0.97587,0.97366,0.21245,0.26843,1.03616,0.0004556,0.0004556,0.0004556
158,316.397,0.34241,0.2913,1.13322,0.96343,0.98214,0.97587,0.9737,0.20891,0.27241,1.03493,0.0004457,0.0004457,0.0004457
159,318.655,0.36378,0.30997,1.2134,0.96389,0.98214,0.97546,0.97451,0.21385,0.27964,1.04869,0.0004358,0.0004358,0.0004358
160,320.93,0.33635,0.28266,1.20132,0.96386,0.98214,0.97546,0.9733,0.21219,0.2776,1.04416,0.0004259,0.0004259,0.0004259
161,323.286,0.3473,0.29357,1.17437,0.96383,0.98214,0.97505,0.96941,0.21414,0.26751,1.04219,0.000416,0.000416,0.000416
162,325.614,0.32565,0.27811,1.15701,0.96382,0.98214,0.97505,0.96941,0.21223,0.26778,1.04356,0.0004061,0.0004061,0.0004061
163,327.837,0.33232,0.28251,1.18889,0.96389,0.98214,0.97465,0.97344,0.20948,0.27588,1.04983,0.0003962,0.0003962,0.0003962
164,330.057,0.35038,0.29101,1.17751,0.96397,0.98214,0.97465,0.969,0.22371,0.31418,1.05842,0.0003863,0.0003863,0.0003863
165,332.334,0.31094,0.27649,1.12895,0.96423,0.98214,0.97502,0.97283,0.22346,0.31164,1.06408,0.0003764,0.0003764,0.0003764
166,334.606,0.32369,0.28307,1.14675,0.9645,0.98214,0.97367,0.97148,0.2207,0.30143,1.06476,0.0003665,0.0003665,0.0003665
