epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,209.433,0.38429,0.30978,1.229,0.94513,0.98214,0.97414,0.96456,0.27772,0.34018,1.03737,0.001109,0.001109,0.001109
92,211.82,0.38912,0.31752,1.22269,0.95956,0.98214,0.97368,0.97018,0.24535,0.31115,1.01859,0.0010991,0.0010991,0.0010991
93,214.178,0.35781,0.30125,1.2198,0.96381,0.98214,0.97396,0.97067,0.24388,0.31718,1.03624,0.0010892,0.0010892,0.0010892
94,216.52,0.38094,0.31622,1.20841,0.96394,0.98214,0.97391,0.97263,0.24982,0.31484,1.05965,0.0010793,0.0010793,0.0010793
95,218.994,0.37671,0.31172,1.23765,0.96406,0.98214,0.97399,0.97182,0.24797,0.32413,1.04291,0.0010694,0.0010694,0.0010694
96,221.358,0.35898,0.2978,1.17814,0.96409,0.98214,0.97407,0.97194,0.25583,0.33762,1.03108,0.0010595,0.0010595,0.0010595
97,223.784,0.36291,0.31244,1.18968,0.96434,0.98214,0.97695,0.97482,0.25081,0.32649,1.02951,0.0010496,0.0010496,0.0010496
98,226.14,0.38217,0.30694,1.23148,0.96485,0.98214,0.97751,0.97037,0.25488,0.32826,1.04366,0.0010397,0.0010397,0.0010397
99,228.486,0.37584,0.31388,1.23164,0.96419,0.96156,0.97728,0.97128,0.25406,0.34047,1.0511,0.0010298,0.0010298,0.0010298
100,230.88,0.34234,0.28935,1.18368,0.96426,0.98214,0.97743,0.97523,0.24667,0.34971,1.13499,0.0010199,0.0010199,0.0010199
101,233.224,0.36902,0.29826,1.19588,0.94726,0.98214,0.97606,0.97094,0.24847,0.36548,1.24172,0.00101,0.00101,0.00101
102,235.597,0.38698,0.31745,1.24243,0.9473,0.98214,0.97637,0.97119,0.25374,0.35726,1.26398,0.0010001,0.0010001,0.0010001
103,238.001,0.38011,0.30962,1.2613,0.96036,0.98214,0.97953,0.97324,0.25226,0.3493,1.06808,0.0009902,0.0009902,0.0009902
104,240.351,0.35499,0.30128,1.19146,0.96396,0.98214,0.97969,0.97641,0.26139,0.33387,1.05582,0.0009803,0.0009803,0.0009803
105,242.922,0.40624,0.3429,1.29976,0.96389,0.98214,0.97669,0.97002,0.26707,0.31088,1.06309,0.0009704,0.0009704,0.0009704
106,245.288,0.34308,0.29301,1.2193,0.96393,0.98214,0.97676,0.96917,0.25847,0.28988,1.04855,0.0009605,0.0009605,0.0009605
107,247.645,0.39857,0.32685,1.2473,0.96548,0.99888,0.98065,0.97826,0.24254,0.27451,1.0327,0.0009506,0.0009506,0.0009506
108,250.009,0.3752,0.30992,1.24637,0.96483,1,0.9819,0.97864,0.2535,0.26013,1.15438,0.0009407,0.0009407,0.0009407
109,252.386,0.40443,0.34396,1.22917,0.96517,1,0.98297,0.9768,0.26697,0.26602,1.12236,0.0009308,0.0009308,0.0009308
110,254.741,0.36677,0.30683,1.21767,0.94764,0.98214,0.98113,0.97343,0.26893,0.2734,1.10293,0.0009209,0.0009209,0.0009209
111,257.126,0.3446,0.2875,1.1961,0.96489,0.98154,0.97838,0.96628,0.27064,0.30408,1.16673,0.000911,0.000911,0.000911
112,259.504,0.3506,0.30031,1.19371,0.96304,0.98214,0.97845,0.97178,0.26607,0.30336,1.22593,0.0009011,0.0009011,0.0009011
113,261.933,0.36665,0.31371,1.22551,0.94667,0.98214,0.97724,0.97074,0.25083,0.30765,1.08398,0.0008912,0.0008912,0.0008912
114,264.337,0.38125,0.33124,1.2508,0.96372,0.98214,0.97761,0.97239,0.24415,0.29317,1.04728,0.0008813,0.0008813,0.0008813
115,266.722,0.39987,0.32525,1.24547,0.96372,0.98214,0.97717,0.97472,0.25037,0.28499,1.03633,0.0008714,0.0008714,0.0008714
116,269.122,0.37468,0.30918,1.23935,0.96388,0.98214,0.97516,0.97516,0.23946,0.29358,1.04036,0.0008615,0.0008615,0.0008615
117,271.511,0.3765,0.30668,1.20584,0.96388,0.98214,0.97451,0.9709,0.24032,0.28641,1.03045,0.0008516,0.0008516,0.0008516
118,273.839,0.39405,0.31879,1.24236,0.96397,0.98214,0.97313,0.97157,0.25586,0.29149,1.03694,0.0008417,0.0008417,0.0008417
119,276.223,0.34829,0.29699,1.18559,0.96408,0.98214,0.96992,0.96417,0.24568,0.31149,1.04742,0.0008318,0.0008318,0.0008318
120,278.611,0.37313,0.30905,1.25631,0.96402,0.98214,0.97114,0.9665,0.24911,0.31115,1.06585,0.0008219,0.0008219,0.0008219
121,280.981,0.36272,0.30937,1.20426,0.96487,0.98099,0.97556,0.97435,0.23247,0.32057,1.04398,0.000812,0.000812,0.000812
122,283.393,0.3679,0.31031,1.20271,0.96487,0.98088,0.97824,0.97705,0.23242,0.32751,1.03834,0.0008021,0.0008021,0.0008021
123,285.88,0.36347,0.29687,1.21078,0.96488,0.98121,0.97841,0.97841,0.24334,0.33117,1.04396,0.0007922,0.0007922,0.0007922
